beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Karhu III",Sinebrychoff,"Lager - Pale",4.6,16,,Espoo,,"Southern Finland",Suomi,60.2064,24.6567,2,"2015-08-19 21:35:43",https://untappd.com/c/216046681,https://untappd.com/beer/39540,https://untappd.com/brewery/961,Finland,Kerava,Etelä-Suomi,,,,216046681,39540,961,,2.79,2.8,,0,0
"Libertine Black Ale",BrewDog,"IPA - Black / Cascadian Dark Ale",7.2,65,,Espoo,,"Southern Finland",Suomi,60.2064,24.6567,4.5,"2015-08-19 21:51:57",https://untappd.com/c/216049913,https://untappd.com/beer/158573,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,216049913,158573,241,https://untappd.s3.amazonaws.com/photo/2015_08_19/74f7d8b4797806b2453f469eca6e5c43_raw.jpg,3.8,3.8,,0,0
"Punk IPA",BrewDog,"IPA - American",5.2,35,,Espoo,,"Southern Finland",Suomi,60.2064,24.6567,4,"2015-08-20 08:59:04",https://untappd.com/c/216256060,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,216256060,5702,241,,3.75,3.75,,0,0
"5AM Saint",BrewDog,"Red Ale - American Amber / Red",5,35,"Rauta tulee läpi, mutta taattua hyvää koiraa...",Espoo,,"Southern Finland",Suomi,60.2064,24.6567,4,"2015-08-20 22:31:56",https://untappd.com/c/216323326,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,216323326,6976,241,https://untappd.s3.amazonaws.com/photo/2015_08_20/79459811778f67923eed41489a8d4c99_raw.jpg,3.63,3.63,,1,0
"DayTime IPA","Lagunitas Brewing Company","IPA - Session / India Session Ale",4,31,,Espoo,,"Southern Finland",Suomi,60.2064,24.6567,4,"2015-08-21 20:46:28",https://untappd.com/c/216619706,https://untappd.com/beer/198572,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,,216619706,198572,765,https://untappd.s3.amazonaws.com/photo/2015_08_21/52332bc1833e01ee95b7d04fb3c202f4_raw.jpg,3.57,3.57,,1,0
Vagabond,BrewDog,Gluten-Free,4.5,55,,Espoo,,"Southern Finland",Suomi,60.2064,24.6567,3.5,"2015-08-21 21:19:20",https://untappd.com/c/216630054,https://untappd.com/beer/904825,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,216630054,904825,241,,3.45,3.45,,0,0
Zeitgeist,BrewDog,"Lager - Dark",4.7,27,,Espoo,,"Southern Finland",Suomi,60.2064,24.6567,4.25,"2015-08-21 23:59:12",https://untappd.com/c/216694283,https://untappd.com/beer/15078,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,216694283,15078,241,https://untappd.s3.amazonaws.com/photo/2015_08_21/10a8dde6c7beb5abf66ba66edd15d43b_raw.jpg,3.43,3.43,,1,0
"Lapin Kulta",Hartwall,"Lager - Pale",5.2,18,,"Sauvo / Sagu",Sauvo,Varsinais-Suomi,Suomi,60.3493,22.6824,1.5,"2015-08-22 18:17:23",https://untappd.com/c/217066741,https://untappd.com/beer/36800,https://untappd.com/brewery/3264,Finland,Lahti,Etelä-Suomi,,,,217066741,36800,3264,,2.57,2.59,,0,0
"Pale Ale","Sierra Nevada Brewing Co.","Pale Ale - American",5.6,38,,"Sauvo / Sagu",Sauvo,Varsinais-Suomi,Suomi,60.3493,22.6824,3.75,"2015-08-22 18:25:57",https://untappd.com/c/217068616,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States",Chico,CA,,,,217068616,6284,1142,https://untappd.s3.amazonaws.com/photo/2015_08_22/3f269d8baa6041ecfcd95718875d5f6c_raw.jpg,3.64,3.64,,1,0
"Hardcore IPA",BrewDog,"IPA - Imperial / Double",9.2,150,,"Sauvo / Sagu",Sauvo,Varsinais-Suomi,Suomi,60.3493,22.6824,4.25,"2015-08-22 20:40:47",https://untappd.com/c/217121114,https://untappd.com/beer/5707,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,217121114,5707,241,https://untappd.s3.amazonaws.com/photo/2015_08_22/45d8c14512bdd8e5a3315a0eafa4c792_raw.jpg,3.92,3.92,,0,0
